benchmark,kind,profile,scenario,frontend,backend,linker,borrowck,typeck,metadata
futures-0.3.30,lib,Check,Full,17660006,3302403,12502,0,711759,2690239
futures-0.3.30,lib,Opt,IncrPatched0,25818095,28986541,292708,308352,847392,4476655
futures-0.3.30,lib,Opt,IncrUnchanged,15582280,5584835,269939,0,234389,4210836
futures-0.3.30,lib,Check,IncrPatched0,25528810,28354333,14108,289634,868274,4470997
futures-0.3.30,lib,Check,IncrUnchanged,15481569,5071148,14108,0,242002,4191839
futures-0.3.30,lib,Check,IncrFull,27938495,4686040,118522,0,1130740,4769292
futures-0.3.30,lib,Debug,IncrPatched0,26262429,29250544,294523,298993,817569,4863160
futures-channel-0.3.30,lib,Debug,IncrFull,766108520,112324372,572703,70552371,238199535,76301683
futures-channel-0.3.30,lib,Opt,IncrFull,776445660,122553270,524652,70807223,237186265,86229703
futures-channel-0.3.30,lib,Check,Full,475226994,71235635,14388,59975735,129301607,26296302
futures-channel-0.3.30,lib,Debug,IncrPatched0,212599625,41810694,556081,279647,52607689,53801915
futures-channel-0.3.30,lib,Debug,Full,538994778,100258422,609021,59926066,129534388,55801629
futures-channel-0.3.30,lib,Check,IncrFull,684218521,79233575,14736,70866656,237526543,38434190
futures-channel-0.3.30,lib,Opt,IncrUnchanged,176508067,46554563,530868,0,44358665,45995689
futures-channel-0.3.30,lib,Opt,Full,600666815,123512130,688711,59558487,129508195,117014811
futures-channel-0.3.30,lib,Check,IncrUnchanged,164102203,17235087,13409,0,44504915,34516899
futures-channel-0.3.30,lib,Debug,IncrUnchanged,180569097,41218646,561389,0,44191605,50099458
futures-channel-0.3.30,lib,Opt,IncrPatched0,207227733,48414242,513547,301159,52602729,48229651
futures-channel-0.3.30,lib,Check,IncrPatched0,192633095,40099430,13969,306955,52648757,35843476
futures-core-0.3.30,lib,Opt,IncrFull,254541400,108340866,334054,15879940,83423313,18664750
futures-core-0.3.30,lib,Check,IncrUnchanged,66417449,8141187,13340,0,14619998,11477323
futures-core-0.3.30,lib,Check,IncrFull,236555587,59723665,13479,15654843,83103649,13095141
futures-core-0.3.30,lib,Opt,IncrPatched0,80010002,41865518,322879,286352,15942314,13863680
futures-core-0.3.30,lib,Debug,IncrUnchanged,81751579,35257082,496157,0,14710723,25654384
futures-core-0.3.30,lib,Debug,Full,171360649,86024086,416257,12164432,47205070,22887040
futures-core-0.3.30,lib,Debug,IncrFull,271185906,106438445,494201,15598201,83009432,36387821
futures-core-0.3.30,lib,Debug,IncrPatched0,93426276,35828877,481350,325464,15887907,27210461
futures-core-0.3.30,lib,Check,IncrPatched0,77603602,30875273,12711,292568,15980517,12533123
futures-core-0.3.30,lib,Check,Full,149020822,52253938,13759,12295377,47210238,8349595
futures-core-0.3.30,lib,Opt,IncrUnchanged,68899069,41454709,348580,0,14612664,12966352
futures-core-0.3.30,lib,Opt,Full,170283966,90118425,366949,12152414,47416340,21525612
futures-io-0.3.30,lib,Debug,IncrPatched0,80239640,44151023,754223,300250,5481609,34469404
futures-io-0.3.30,lib,Debug,Full,178033477,168633250,552169,19746180,28602269,37144976
futures-io-0.3.30,lib,Debug,IncrFull,247827637,221496416,819595,24504785,39580152,59105074
futures-io-0.3.30,lib,Check,IncrFull,182532689,69998799,13758,24803078,39640566,12261926
futures-io-0.3.30,lib,Check,Full,136936359,63883864,13410,19947603,28935764,8469932
futures-io-0.3.30,lib,Debug,IncrUnchanged,68950332,43684200,774895,0,4753088,32507825
futures-io-0.3.30,lib,Check,IncrPatched0,54625347,26804050,13619,282791,5529031,11119105
futures-io-0.3.30,lib,Opt,IncrPatched0,59184832,55334870,378263,290193,5424967,13534654
futures-io-0.3.30,lib,Opt,IncrFull,210749078,197418641,389159,24473141,39678001,22198119
futures-io-0.3.30,lib,Opt,Full,179953008,155405060,400194,19970445,29226794,36266715
futures-io-0.3.30,lib,Check,IncrUnchanged,43927040,6491382,12502,0,4794574,9483198
futures-io-0.3.30,lib,Opt,IncrUnchanged,48462710,54685969,394467,0,4815177,11968311
futures-sink-0.3.30,lib,Check,IncrFull,95152064,43242519,12851,9099138,25807755,6860915
futures-sink-0.3.30,lib,Opt,IncrPatched0,41657108,29549813,301018,298225,3404232,7553816
futures-sink-0.3.30,lib,Opt,IncrFull,106715152,53371753,309539,9199990,25851755,12228612
futures-sink-0.3.30,lib,Check,IncrUnchanged,25798118,4791780,12502,0,2815046,5305258
futures-sink-0.3.30,lib,Opt,Full,83996922,49394051,319107,7677227,19211191,12506233
futures-sink-0.3.30,lib,Debug,Full,79148500,44702353,320015,7637978,19246182,7898277
futures-sink-0.3.30,lib,Opt,IncrUnchanged,27786515,5168857,279437,0,2822170,6742883
futures-sink-0.3.30,lib,Check,IncrPatched0,39538945,28830790,12362,308282,3385515,6278993
futures-sink-0.3.30,lib,Debug,IncrUnchanged,27665130,5077852,272872,0,2821960,6694762
futures-sink-0.3.30,lib,Debug,IncrFull,105561155,51842706,284257,9211159,25793577,10810542
futures-sink-0.3.30,lib,Debug,IncrPatched0,41777237,29030957,311215,301437,3368892,7863355
futures-sink-0.3.30,lib,Check,Full,71396053,36293114,13130,7582938,19488114,4631354
futures-task-0.3.30,lib,Debug,Full,288563172,134791788,477509,29207165,76321789,35498592
futures-task-0.3.30,lib,Opt,IncrUnchanged,104783392,52387819,440562,0,22184918,24480061
futures-task-0.3.30,lib,Check,IncrUnchanged,97047221,11803623,13270,0,22073381,19784104
futures-task-0.3.30,lib,Opt,IncrPatched0,125959723,53815038,429946,298015,26743566,25736655
futures-task-0.3.30,lib,Check,IncrPatched0,118390195,34741646,12921,294453,26641667,21138896
futures-task-0.3.30,lib,Opt,IncrFull,419946321,164796058,456556,37469950,131525631,41409309
futures-task-0.3.30,lib,Check,IncrFull,373866416,78229450,14667,37455429,130633264,22695462
futures-task-0.3.30,lib,Debug,IncrUnchanged,116018155,44484166,562088,0,22332912,35539030
